,llm,system,female,male,neutral,net_female,net_male,net_neutral,stereotype_ratio
0,llama_2_13b,female,0.258751795654629,0.2938969454612006,0.4473512588841704,-0.19068640659256197,-0.1049794590331814,0.2956658656257434,-0.4242772546684504
1,llama_2_13b,male,0.2228945730040571,0.4157919604941908,0.3613134665017521,-0.2265436292431339,0.016915555999808818,0.20962807324332514,0.04240801363332352
2,llama_2_13b,neutral,0.22892258811141733,0.41071026464598825,0.3603671472425944,-0.22051561413577367,0.011833860151606257,0.2086817539841674,1.3757537855252517
3,llama_2_70b,female,0.5508299290506712,0.3516318942107878,0.09753817673854104,0.13318287022714176,-0.21895634108332984,0.0857734708561881,0.31888856251569153
4,llama_2_70b,male,0.4183370847998152,0.5501453115796748,0.03151760362051,0.0006900259762857575,-0.020442923714442784,0.01975289773815706,-0.03582780444799251
5,llama_2_70b,neutral,0.47733735379312603,0.48885161124046417,0.033811034966409775,0.0596902949695966,-0.08173662405365345,0.022046329084056834,1.873937972144831
6,llama_2_7b,female,0.3543583043227735,0.2849465733158115,0.360695122361415,0.0789092025263663,-0.19409534285185315,0.11518614032548685,0.28647471351963416
7,llama_2_7b,male,0.32907687728335244,0.4633227064544772,0.20760041626217032,0.05362777548694525,-0.015719209713187465,-0.03790856577375781,-0.03281385027627883
8,llama_2_7b,neutral,0.281966011708222,0.4128944843039733,0.3051395039878047,0.0065169099118148055,-0.06614743186369137,0.05963052195187657,0.24288529673081433
9,llama_3_70b,female,0.053958677508403434,0.5330136174218181,0.41302770506977843,-0.22604132249159659,-0.03841495400675332,0.26445627649834985,-0.8072904374699877
10,llama_3_70b,male,0.08508659820999187,0.7269400737568701,0.187973328033138,-0.19491340179000816,0.1555115023282987,0.03940189946170941,0.2721451290745227
11,llama_3_70b,neutral,0.06407483087277055,0.5790185227670381,0.3569066463601913,-0.21592516912722948,0.007589951338466738,0.20833521778876274,1.4022562735782107
12,llama_3_8b,female,0.4395833333333333,0.3331018518518518,0.2273148148148148,-0.08819444444444446,-0.09467592592592594,0.18287037037037035,-0.16710526315789476
13,llama_3_8b,male,0.1849537037037037,0.7918981481481482,0.02314814814814815,-0.3428240740740741,0.3641203703703704,-0.021296296296296296,0.8511904761904764
14,llama_3_8b,neutral,0.3652472857830001,0.5863550470693328,0.04839766714766715,-0.1625304919947777,0.15857726929155508,0.003953222703222702,0.08894751082251079
