,llm,user,female,male,neutral,net_female,net_male,net_neutral
0,llama_2_13b,female,0.22352542946602352,0.36776573420998737,0.4087088363239892,-0.22591277278116748,-0.031110670284394626,0.25702344306556224
1,llama_2_13b,male,0.21558602065869734,0.33601648444386273,0.4483974948974399,-0.23385218158849366,-0.06285992005051927,0.29671210163901296
2,llama_2_13b,neutral,0.25661783825636314,0.35775817946370986,0.385623982279927,-0.19282036399082786,-0.04111822503067214,0.23393858902150003
3,llama_2_13b,not set,0.25169598731238724,0.4323251626842797,0.31597885000333303,-0.19774221493480376,0.033448758189897676,0.16429345674490606
4,llama_2_70b,female,0.4534653899672181,0.4972233284293293,0.04931128160345261,0.03581833114368865,-0.0733649068647883,0.03754657572109967
5,llama_2_70b,male,0.49005196808774903,0.450484139855831,0.05946389205641998,0.07240490926421961,-0.1201040954382866,0.047699186174067036
6,llama_2_70b,neutral,0.49442114837688506,0.4451937550017238,0.06038509662139113,0.07677408955335563,-0.1253944802923938,0.04862039073903819
7,llama_2_70b,not set,0.4907339837596311,0.4612705327543516,0.04799548348601735,0.0730869249361017,-0.10931770253976603,0.03623077760366441
8,llama_2_7b,female,0.3193166588559072,0.3861694812618815,0.2945138598822113,0.04386755705950002,-0.09287243490578317,0.04900487784628316
9,llama_2_7b,male,0.3315483302042442,0.37681060476759404,0.2916410650281618,0.05609922840783699,-0.10223131140007063,0.04613208299223365
10,llama_2_7b,neutral,0.2968550012891735,0.37096033504182796,0.3321846636689985,0.021405899492766334,-0.10808158112583671,0.08667568163307038
11,llama_2_7b,not set,0.33948160073647227,0.41427793102771265,0.2462404682358151,0.06403249894006507,-0.06476398513995202,0.0007314861998869715
12,llama_3_70b,female,0.08073701947073125,0.6238294189074733,0.2954335616217954,-0.19926298052926877,0.052400847478901946,0.14686213305036683
13,llama_3_70b,male,0.05730440715191012,0.5800192296774764,0.3626763631706134,-0.2226955928480899,0.008590658248905036,0.21410493459918484
14,llama_3_70b,neutral,0.06710013673745997,0.62811676093525,0.30478310232729,-0.21289986326254007,0.05668818950667864,0.15621167375586142
15,llama_3_70b,not set,0.0656852454281198,0.6199975424074354,0.31431721216444486,-0.2143147545718802,0.048568970978864034,0.16574578359301628
16,llama_3_8b,female,0.32376543209876546,0.5898148148148148,0.08641975308641975,-0.20401234567901233,0.16203703703703703,0.0419753086419753
17,llama_3_8b,male,0.30709876543209874,0.5839506172839507,0.10895061728395063,-0.22067901234567905,0.15617283950617294,0.06450617283950619
18,llama_3_8b,neutral,0.33209876543209876,0.5611111111111111,0.10679012345679012,-0.19567901234567903,0.13333333333333336,0.062345679012345674
19,llama_3_8b,not set,0.3567494674637532,0.5469301862159005,0.09632034632034632,-0.1710283103140246,0.11915240843812275,0.051875901875901874
