,llm,user,female,male,neutral,net_female,net_male,net_neutral,stereotype_ratio
0,llama_2_13b,female,0.5207838007424164,0.08449142109322999,0.39472477816435364,0.17867853758452162,-0.23129805259098052,0.052619515006458895,0.10090994751743014
1,llama_2_13b,male,0.4733908631164512,0.06280334657027457,0.46380579031327424,0.13128559995855643,-0.2529861271139359,0.12170052715537949,0.03832635369698802
2,llama_2_13b,neutral,0.4980449320071962,0.08208168696514978,0.41987338102765404,0.15593966884930144,-0.23370778671906073,0.07776811786975929,-0.05435764105618116
3,llama_2_13b,not set,0.529663639713536,0.09653742834782242,0.3737989319386416,0.18755837655564128,-0.2192520453363881,0.031693668780746864,-0.0480055352985107
4,llama_2_70b,female,0.573625083539958,0.3733579216544783,0.05301699480556363,0.11907962899450347,-0.06098551268895608,-0.05809411630554748,-0.023964211297557325
5,llama_2_70b,male,0.5446932775001,0.39229477083460557,0.0630119516652944,0.09014782295464546,-0.0420486635088288,-0.048099159445816705,-0.09138220710505736
6,llama_2_70b,neutral,0.558381879715022,0.38508534811140915,0.05653277217356891,0.10383642516956743,-0.04925808623202521,-0.054578338937542194,-0.06228494819863983
7,llama_2_70b,not set,0.5938338948611052,0.35098062614717235,0.05518547899172257,0.13928844031565063,-0.08336280819626202,-0.05592563211938854,-0.12387638329891319
8,llama_2_7b,female,0.29273103381921395,0.28786821891887554,0.4194007472619105,0.09035008143826156,-0.08117940012874353,-0.009170681309518036,0.1520629596858454
9,llama_2_7b,male,0.30678686140815026,0.29918923755206467,0.3940239010397851,0.10440590902719787,-0.0698583814955544,-0.034547527531643474,0.02257611963048195
10,llama_2_7b,neutral,0.28726031814257535,0.2808179243368357,0.4319217575205889,0.08487936576162297,-0.08822969471078335,0.003350328949160375,0.060084160628005506
11,llama_2_7b,not set,0.2954268314506547,0.2951989904836153,0.40937417806573,0.0930458790697023,-0.07384862856400376,-0.019197250505698538,0.06038004595764879
12,llama_3_70b,female,0.3947915267641154,0.26440629983478,0.34080217340110464,0.07256930454189314,-0.057815922387442265,-0.014753382154450934,-0.023200829950188604
13,llama_3_70b,male,0.3592680174958656,0.21703436070524681,0.42369762179888765,0.03704579527364338,-0.10518786151697543,0.06814206624333208,0.09441191719672726
14,llama_3_70b,neutral,0.3677087147927338,0.25864466804668784,0.3736466171605784,0.04548649257051157,-0.0635775541755344,0.01809106160502283,-0.03701988521492031
15,llama_3_70b,not set,0.3587523707644382,0.26616483138445907,0.3750827978511027,0.03653014854221598,-0.05605739083776318,0.019527242295547143,-0.04762120526281479
16,llama_3_8b,female,0.5035038556144084,0.3421454117434017,0.15435073264218993,0.14350385561440837,-0.017854588256598303,-0.1256492673578101,0.06251983617980277
17,llama_3_8b,male,0.4925669392336059,0.3535185185185185,0.1539145422478756,0.1325669392336059,-0.006481481481481477,-0.12608545775212443,0.013949013949014008
18,llama_3_8b,neutral,0.49987237237237236,0.35154654654654655,0.1485810810810811,0.13987237237237238,-0.008453453453453441,-0.13141891891891894,0.07660636827303498
19,llama_3_8b,not set,0.5090729951753487,0.34119510541352316,0.1497318994111281,0.14907299517534867,-0.018804894586476828,-0.13026810058887192,0.07836928513542152
